code;type_diplôme;q6_7;q6_8;q6_9a;q6_9b;q6_9c;q6_14_6
1520;MASTER;2;9;59;;Lille;Éducation nationale
1521;MASTER;4;;69;;Lyon;
1524;MASTER;4;4;92;;Boulogne Billancourt;Catalina
1526;MASTER;2;10;27;;Evreux;Ministere de la justice 
1529;MASTER;4;8;34;;Montpellier;BeOpinion
1533;MASTER;4;2;57;;Metz;ALTRAN
1537;MASTER;4;11;88;;Epinal;CPM
1540;MASTER;4;7;14;;Caen;presto ingeniering
1542;MASTER;2;9;17;;Saintes ;LEGTA Georges Desclaude 
1546;MASTER;3;4;14;;Caen;Calvados Habitat 
1547;MASTER;4;5;75;;Paris;
1550;MASTER;5;11;61;;Alencin;
1551;MASTER;5;11;68;;Colmar;Association ARGILE
1554;MASTER;5;11;41;;Aucous;apirjso
1556;MASTER;4;7;69;;Lyon;Caduceum
1559;MASTER;2;9;14;;Caen;Université de Caen Normandie
1562;MASTER;2;10;67;;Strasbourg;Conseil Régional Grand Est
1563;MASTER;4;2;29;;douarnenez;Thancerelle
1564;MASTER;4;6;33;;BORDEAUX;HISCOX
1565;MASTER;2;7;41;;Blois;Cerema (établissement public)
1566;MASTER;5;1;35;;COMBOURTILLE;ASSOCIATION BLEU-BLANC-COEUR
1569;MASTER;4;8;92;;Puteaux;Wavestone
1570;MASTER;4;4;35;;rennes;banque 
1572;MASTER;4;7;;;Greenore ;Openhydro 
1574;MASTER;2;7;75;;Paris;Agence française pour la biodiversité
1575;MASTER;4;4;44;;Nantes;Tiniloo
1576;MASTER;5;11;44;;St-Herblain;AAFP-CSF 44
1578;MASTER;6;6;35;;Rennes;Kpmg
1579;MASTER;2;9;61;;Ceton;Education nationale
1581;MASTER;4;1;17;;La brée les bains;Ferme Marine du Douhet
1582;MASTER;4;6;50;;ST LO;
1587;MASTER;4;8;;;;
1588;MASTER;2;9;75;;Paris;Université Paris Diderot 
1592;MASTER;2;10;14;;Caen;Université de Caen Normandie
1593;MASTER;4;12;75;;Paris;
1594;MASTER;4;4;84;;Cavaillon ;STEF
1595;MASTER;4;6;14;;Deauville;BNP Paribas
1596;MASTER;3;13;14;;Caen;SNCF RESEAU
1597;MASTER;5;11;50;;SAINT LO;ADMR DE LA MANCHE
1598;MASTER;4;6;35;;Pacé;Crédit Agricole 
1599;MASTER;4;6;75;;Paris;HSBC
1600;MASTER;4;6;35;;Rennes;CIC OUEST
1601;MASTER;4;5;14;;herouville saint clair;adventiel
1604;MASTER;4;4;92;;Paris;
1606;MASTER;4;3;35;;Cesson-Sévigné;Clemessy
1608;MASTER;3;4;35;;rennes ;CCI BRETAGNE
1609;MASTER;4;2;78;;saint-quentin en yvellines;assysteme technologie
1614;MASTER;4;6;14;;Caen;Crédit agricole normandie
1616;MASTER;4;6;35;;Rennes;BDO
1618;MASTER;4;6;44;;Nantes;
1619;MASTER;3;7;29;;brest;Ifremer
1620;MASTER;4;6;83;;Sanary sur mer;Cic
1621;MASTER;4;7;;;Bristol;
1622;MASTER;4;6;14;;VIRE;CIC
1623;MASTER;4;6;92;;Neuilly;Adway 
1624;MASTER;4;2;29;;Quimper ;Groupement d’employeurs Cornoualia 
1626;MASTER;4;2;44;;Nantes;
1629;MASTER;4;3;35;;RENNES;
1630;MASTER;4;6;75;;Paris;Mazars
1632;MASTER;2;;61;;;
1633;MASTER;2;7;56;;Lorient;Marine nationale
1637;MASTER;5;11;78;;Rennes;SAS HUMCITIA
1638;MASTER;5;11;67;;Strasbourg;ABRAPA
1639;MASTER;5;11;22;;Plestin-les-Grèves ;
1641;MASTER;3;13;29;;Brest;La Poste
1642;MASTER;2;9;56;;Pontivy;Education nationale
1646;MASTER;5;11;68;;Orbey;Atre de la Vallée
1649;MASTER;4;2;68;;Bieshein;Constellium
1651;MASTER;2;9;57;;;
1652;MASTER;5;11;67;;strasbourg;route nouvelle alsace
1654;MASTER;4;6;67;;Lampertheim ;Crédit mutuel
1658;MASTER;4;6;13;;Marseille;Solimut Mutuelle de France
1660;MASTER;4;4;99;404;New York;
1663;MASTER;5;11;93;;Bagnolet;Solthis
1664;MASTER;4;13;44;;Nantes;2A Organisation
1670;MASTER;4;4;53;;Saint Berthevin;NOZ
1671;MASTER;4;6;49;;Angers;Financière conseil
1682;MASTER;4;6;14;;Caen;BPI France
1685;MASTER;4;2;72;;Connerre;PRUNIER
1686;MASTER;4;6;14;;caen;société générale
1689;MASTER;4;6;49;;Angers;SA
1695;MASTER;4;11;50;;coutances;sistm50
1696;MASTER;4;2;49;;Angers;Eolane
1697;MASTER;4;3;53;;Saint Berthevin;Groupe Isore
1700;MASTER;4;5;14;;caen;flamefy
1702;MASTER;5;11;60;;agnetz;association langage et intégration
1703;MASTER;4;6;44;;Nantes;LCL 
1705;MASTER;4;2;35;;Guichen;NORMA AUTOLINE FRANCE
1710;MASTER;3;1;53;;laval;Chambre d'agriculture de la Mayenne
1712;MASTER;4;6;61;;Donfront;Soregor
1714;MASTER;4;6;75;;Paris;BNP
1716;MASTER;4;6;72;;Sablé sur sarthe;CIC
1721;MASTER;4;4;44;;Saint herblain;Ikea
1723;MASTER;4;12;44;;nantes;livee
1724;MASTER;4;13;44;;Nantes;Nepsio conseil
1726;MASTER;5;12;69;;Lyon;Ligue d'escrime du Lyonnais
1728;MASTER;4;6;75;;paris;HSBC
1729;MASTER;5;11;17;;Lagord;UDAF
1730;MASTER;4;12;49;;CHOLET;SARL L'AUTRE USINE
1731;MASTER;4;8;75;;Paris;Sport Intelligence
1733;MASTER;4;7;69;;lyon;cs
1735;MASTER;4;3;72;;Le Mans;Vinci Energies
1736;MASTER;4;6;53;;LAVAL;BANQUE
1737;MASTER;;13;50;;flamanville;areva 
1739;MASTER;2;9;14;;caen;le collège le chanteur
1740;MASTER;4;13;49;;La Pommeraye;Brangeon services
1742;MASTER;4;6;72;;LE MANS;banque populaire
1744;MASTER;3;9;61;;domfront;
1747;MASTER;4;6;14;;CAEN;BNP PARIBAS
1748;MASTER;4;2;99;132;Coventry;PSA
1752;MASTER;3;7;67;;Niederhausbergen;Centre de Primatologie de l'Université de Strasbourg
1754;MASTER;4;6;46;;Vayrac;Credit agricole 
1755;MASTER;4;6;44;;Nantes;Auditia 
1758;MASTER;2;11;35;;Rennes;Centre Hospitalier Guillaume Régnier
1762;MASTER;2;9;61;;saint hilaire sur erre;l'éducation nationale
1763;MASTER;4;4;41;;Chaumont sur Tharonne;Center Parcs
1764;MASTER;5;11;41;;Montoire sur le loir;L'hostitalet
1765;MASTER;4;13;75;;meudon sur seine;gemalto
1767;MASTER;2;11;28;;Chartres;Education nationale
1769;MASTER;4;4;99;134;Barcelone;Criteo
1770;MASTER;4;6;44;;Nantes;KPMG
1773;MASTER;7;4;76;;Le havre;
1776;MASTER;4;11;45;;Saran;SSR la cygogne 
1777;MASTER;4;5;14;;Un peu partout France et étranger;
1779;MASTER;4;1;77;;;
1784;MASTER;4;5;75;;cachan;e business information
1786;MASTER;4;6;70;;Vesoul;CIC
1788;MASTER;4;6;18;;bourges;credit agricole centre loire
1795;MASTER;4;6;74;;annecy;btp banque
1797;MASTER;4;8;14;;Colombelles;PTBG et associés
1798;MASTER;4;6;60;;beauvais;crédit mutuel
1799;MASTER;4;1;17;;leoville;sas landreau et fils
1803;MASTER;2;10;14;;Caen;
1806;MASTER;4;6;69;;Saint Priest ;Gerin distribution (RG safety)
1807;MASTER;4;4;14;;ifs;stef transport et logistique
1808;MASTER;4;6;75;;Paris ;Société Générale. 
1812;MASTER;4;4;76;;ST ETIENNE DU ROUVRAY;
1817;MASTER;4;4;14;;Caen ;
1818;MASTER;2;10;74;;Chamonix;Communauté de communes Chamonix-Mont-Blanc
1820;MASTER;4;13;76;;LILLEBONNE;CAUX SEINE DEVELOPPEMENT
1823;MASTER;4;4;28;;Dreux;Création couleur
1825;MASTER;4;13;76;;GRAND COURONNE;bolloré ports
1826;MASTER;3;7;92;;Courbevoie;INPI
1827;MASTER;4;6;27;;Gisors;BNP Paribas 
1833;MASTER;4;11;41;;Blois;
1834;MASTER;4;2;76;;Le Havre ;LHEM
1835;MASTER;5;11;27;;evreux;camsp
1836;MASTER;4;2;50;;condé sur vire;elle & vire
1837;MASTER;5;11;14;;Hérouville;Comité régional handisport Normandie
1838;MASTER;4;13;27;;Evreux;Office de Tourisme et de Commerce
1840;MASTER;2;11;76;;Rouen;CHU de Rouen
1842;MASTER;4;3;78;;Versailles;Leon gros
1843;MASTER;5;11;76;;Dieppe;ATMP76
1845;MASTER;4;2;69;;;Confidentiel
1849;MASTER;2;9;14;;meulles;l'éducation nationale
1851;MASTER;2;10;62;;Bénifontaine;Communauté d'agglomération de Lens Liévin
1854;MASTER;4;4;14;;Mondeville;Carrefour
1855;MASTER;2;9;28;;Lucé;Lycée Elsa Triolet
1862;MASTER;4;8;76;;Bois Guillaume;MSA
1863;MASTER;2;9;76;;St valéry en taux;éducation nationale
1864;MASTER;5;11;38;;Grenoble;Institut gestion sociale des armées
1867;MASTER;4;6;76;;Le Havre;BNB PARIBAS
1868;MASTER;4;6;14;;Caen;CA Normandie
1870;MASTER;2;9;61;;Argentan;rectorat
1871;MASTER;4;;76;;Fecamp;
1874;MASTER;2;9;60;;Beauvais;éducation nationale
1876;MASTER;4;4;92;;Boulogne Billancourt ;Carlson wagonlit 
1879;MASTER;4;2;76;;Vieux rouen sur bresle;Verreries Brosse
1883;MASTER;4;13;76;;le havre;suez hervé osis industrial cleaning
1886;MASTER;4;6;76;;Le Havre;Dero courtage
1887;MASTER;4;7;75;;Paris;
1888;MASTER;4;6;27;;;
1890;MASTER;2;9;62;;Lens;Education nationale
1891;MASTER;;4;76;;;
1894;MASTER;3;4;75;;Paris;SNCF
1897;MASTER;4;6;75;;Paris;Banque Palatine
1899;MASTER;4;2;35;;Cesson ;Capgemini
1900;MASTER;4;13;76;;Paluel;Apave
1906;MASTER;5;13;14;;Hérouville Saint Clair;GRAPE (Groupement régional des associations de protection de l'environnement)
1907;MASTER;4;2;7;;Cruas;
1909;MASTER;2;9;61;;argentan;
1911;MASTER;4;7;76;;Auberville la campagne;Mistras
1914;MASTER;2;10;76;;Le Havre;EPA Hélène Keller
1915;MASTER;4;6;76;;Le Havre ;HELVETIA compagnie assurances
1916;MASTER;2;11;76;;Barentin;Centre hospitalier de Barentin 
1917;MASTER;4;2;62;;Lestren;Roquette frères
1921;MASTER;2;9;14;;Troarn;Education Nationale
1922;MASTER;5;11;76;;Rouen;Adepep 76
1923;MASTER;5;11;14;;FALAISE;APAEI des PAYS D'AUGE et de FALAISE
1924;MASTER;4;13;27;;Vernont;Plasticomnium
1925;MASTER;4;3;14;;Caen;Vinci
1927;MASTER;4;2;27;;RUGLES;
1941;MASTER;3;10;27;;Evreux;Caf
1942;MASTER;2;9;27;;Pontaudemer;Education nationale
1943;MASTER;2;9;50;;Granville;Ministère de l'éducation
1945;MASTER;4;7;78;;villiers saint frederic;assystem
1947;MASTER;5;11;41;;Blois;APAJH 41
1948;MASTER;4;2;77;;Réau;
1949;MASTER;4;11;61;;alençon;atmpo
1951;MASTER;4;12;14;;bayeux;credit agricole normandie
1955;MASTER;4;11;1;;Hauteville Lompnes;5Santé 
1958;MASTER;4;13;92;;Meudon;Sopra Steria
1959;MASTER;4;2;93;;La Courneuve ;DAPE 74 -->c'est une filiale de BIC 
1963;MASTER;2;7;35;;Rennes;Agrocampus Ouest
1964;MASTER;4;13;75;;Paris;Green bureau
1965;MASTER;2;9;92;;Clichy;Éducation nationale 
1966;MASTER;4;2;75;;la garenne colombe;TF1
1967;MASTER;4;13;75;;paris;gemalto
1968;MASTER;4;7;78;;guyancourt;Matis technologies
1974;MASTER;2;11;56;;Vannes ;Ccas ville de vannes
1976;MASTER;2;13;94;;;L'INA
1977;MASTER;2;11;14;;Caen ;Hopital Saint Martin
1983;MASTER;4;2;78;;Le Pecq;Snap-on Business Solutions
1991;MASTER;4;2;78;;velizy;D'assault système
1992;MASTER;2;11;14;;Vire ;Hopital
